stage,variant,scope,cv_scheme,feature_set,n,n_pos,AUC,PR_AUC,CIR_only_12_Recall_at_FPR_1pct,CIR_only_12_Recall_at_FPR_5pct,CIR_only_12_Recall_at_FPR_10pct,CIR_only_12_LoS_FPR_at_NLoS_recall_80pct,CIR_only_12_LoS_FPR_at_NLoS_recall_90pct,CIR_only_12_LoS_FPR_at_NLoS_recall_95pct,CP6_canonical_Recall_at_FPR_1pct,CP6_canonical_Recall_at_FPR_5pct,CP6_canonical_Recall_at_FPR_10pct,CP6_canonical_LoS_FPR_at_NLoS_recall_80pct,CP6_canonical_LoS_FPR_at_NLoS_recall_90pct,CP6_canonical_LoS_FPR_at_NLoS_recall_95pct,Joint_CIR_plus_CP6_Recall_at_FPR_1pct,Joint_CIR_plus_CP6_Recall_at_FPR_5pct,Joint_CIR_plus_CP6_Recall_at_FPR_10pct,Joint_CIR_plus_CP6_LoS_FPR_at_NLoS_recall_80pct,Joint_CIR_plus_CP6_LoS_FPR_at_NLoS_recall_90pct,Joint_CIR_plus_CP6_LoS_FPR_at_NLoS_recall_95pct,status,CP_all_RH_LH_16_Recall_at_FPR_1pct,CP_all_RH_LH_16_Recall_at_FPR_5pct,CP_all_RH_LH_16_Recall_at_FPR_10pct,CP_all_RH_LH_16_LoS_FPR_at_NLoS_recall_80pct,CP_all_RH_LH_16_LoS_FPR_at_NLoS_recall_90pct,CP_all_RH_LH_16_LoS_FPR_at_NLoS_recall_95pct,CP_pruned_6_Recall_at_FPR_1pct,CP_pruned_6_Recall_at_FPR_5pct,CP_pruned_6_Recall_at_FPR_10pct,CP_pruned_6_LoS_FPR_at_NLoS_recall_80pct,CP_pruned_6_LoS_FPR_at_NLoS_recall_90pct,CP_pruned_6_LoS_FPR_at_NLoS_recall_95pct,CP_low_overlap_4_Recall_at_FPR_1pct,CP_low_overlap_4_Recall_at_FPR_5pct,CP_low_overlap_4_Recall_at_FPR_10pct,CP_low_overlap_4_LoS_FPR_at_NLoS_recall_80pct,CP_low_overlap_4_LoS_FPR_at_NLoS_recall_90pct,CP_low_overlap_4_LoS_FPR_at_NLoS_recall_95pct,Joint_CIR_plus_CP_all_Recall_at_FPR_1pct,Joint_CIR_plus_CP_all_Recall_at_FPR_5pct,Joint_CIR_plus_CP_all_Recall_at_FPR_10pct,Joint_CIR_plus_CP_all_LoS_FPR_at_NLoS_recall_80pct,Joint_CIR_plus_CP_all_LoS_FPR_at_NLoS_recall_90pct,Joint_CIR_plus_CP_all_LoS_FPR_at_NLoS_recall_95pct,Joint_CIR_plus_CP_pruned_Recall_at_FPR_1pct,Joint_CIR_plus_CP_pruned_Recall_at_FPR_5pct,Joint_CIR_plus_CP_pruned_Recall_at_FPR_10pct,Joint_CIR_plus_CP_pruned_LoS_FPR_at_NLoS_recall_80pct,Joint_CIR_plus_CP_pruned_LoS_FPR_at_NLoS_recall_90pct,Joint_CIR_plus_CP_pruned_LoS_FPR_at_NLoS_recall_95pct,Joint_CIR_plus_CP_low_overlap_Recall_at_FPR_1pct,Joint_CIR_plus_CP_low_overlap_Recall_at_FPR_5pct,Joint_CIR_plus_CP_low_overlap_Recall_at_FPR_10pct,Joint_CIR_plus_CP_low_overlap_LoS_FPR_at_NLoS_recall_80pct,Joint_CIR_plus_CP_low_overlap_LoS_FPR_at_NLoS_recall_90pct,Joint_CIR_plus_CP_low_overlap_LoS_FPR_at_NLoS_recall_95pct,AUC_CIR,AUC_CP,AUC_Joint,Delta_AUC,CP_save,CP_harm,Net_recovery,Recovery_given_CIR_fail,Harm_given_CIR_correct,Delta_AUC_boot_CI_low,Delta_AUC_boot_CI_high,Net_recovery_CI_low,Net_recovery_CI_high
stage1,old_local_negx,ALL,stratified5,CIR_only_12,3000.0,2120.0,0.7035988421955404,0.8424138766726644,0.05377358490566038,0.20141509433962265,0.31886792452830187,0.5795454545454546,0.7534090909090909,0.8761363636363636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1,old_local_negx,ALL,stratified5,CP6_canonical,3000.0,2120.0,0.6589510077186964,0.7935262309103135,,,,,,,0.01981132075471698,0.0830188679245283,0.18537735849056602,0.575,0.7829545454545455,0.8965909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1,old_local_negx,ALL,stratified5,Joint_CIR_plus_CP6,3000.0,2120.0,0.7476270368782161,0.8626708661787347,,,,,,,,,,,,,0.046698113207547166,0.22311320754716982,0.389622641509434,0.44772727272727275,0.6534090909090909,0.8079545454545455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1,old_local_negx,ALL,stratified5,CP_all_RH_LH_16,0.0,0.0,,,,,,,,,,,,,,,,,,,,,missing_or_nonfinite_features,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1,old_local_negx,ALL,stratified5,CP_pruned_6,0.0,0.0,,,,,,,,,,,,,,,,,,,,,missing_or_nonfinite_features,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1,old_local_negx,ALL,stratified5,CP_low_overlap_4,0.0,0.0,,,,,,,,,,,,,,,,,,,,,missing_or_nonfinite_features,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1,old_local_negx,ALL,stratified5,Joint_CIR_plus_CP_all,0.0,0.0,,,,,,,,,,,,,,,,,,,,,missing_or_nonfinite_features,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1,new_theta0_posz_cp16,ALL,stratified5,CIR_only_12,3000.0,2120.0,0.6786170668953688,0.8262822499091473,0.027358490566037737,0.1580188679245283,0.29339622641509433,0.6238636363636364,0.8136363636363636,0.9068181818181819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1,new_theta0_posz_cp16,ALL,stratified5,CP6_canonical,3000.0,2120.0,0.635481346483705,0.778408927438822,,,,,,,0.005188679245283019,0.07216981132075471,0.17358490566037735,0.6147727272727272,0.7954545454545454,0.8988636363636363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1,new_theta0_posz_cp16,ALL,stratified5,Joint_CIR_plus_CP6,3000.0,2120.0,0.7229513293310463,0.8532104115540786,,,,,,,,,,,,,0.04716981132075472,0.21273584905660378,0.33584905660377357,0.4965909090909091,0.7159090909090909,0.8738636363636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1,new_theta0_posz_cp16,ALL,stratified5,CP_all_RH_LH_16,3000.0,2120.0,0.7004261363636364,0.8306009083007622,,,,,,,,,,,,,,,,,,,,0.05,0.14150943396226415,0.24433962264150944,0.525,0.6579545454545455,0.7386363636363636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1,new_theta0_posz_cp16,ALL,stratified5,CP_pruned_6,3000.0,2120.0,0.6461433319039451,0.7788199145162956,,,,,,,,,,,,,,,,,,,,,,,,,,0.013679245283018868,0.07216981132075471,0.17358490566037735,0.5477272727272727,0.6568181818181819,0.7522727272727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1,new_theta0_posz_cp16,ALL,stratified5,CP_low_overlap_4,3000.0,2120.0,0.6513979416809605,0.7823984329963952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012735849056603774,0.06886792452830189,0.15849056603773584,0.5806818181818182,0.6829545454545455,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stage1,new_theta0_posz_cp16,ALL,stratified5,Joint_CIR_plus_CP_all,3000.0,2120.0,0.7624758790737564,0.8720293306366749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07877358490566037,0.23679245283018868,0.35566037735849054,0.43863636363636366,0.5977272727272728,0.6829545454545455,,,,,,,,,,,,,,,,,,,,,,,,,
stage1,new_theta0_posz_cp16,ALL,stratified5,Joint_CIR_plus_CP_all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6786170668953688,0.7004261363636364,0.7624758790737564,0.08385881217838753,0.098,0.042666666666666665,0.05533333333333334,0.3340909090909091,0.06037735849056604,0.06856417506432257,0.09996925921955398,0.043333333333333335,0.06767500000000001
stage2,old_local_negx,ALL,fit_all,CIR_only_12,900.0,437.0,0.6457389129693425,0.6076207477619155,0.036613272311212815,0.10068649885583524,0.19221967963386727,0.6069114470842333,0.7429805615550756,0.8207343412526998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
